name,creditScore,income,loanAmount,monthDuration,p1,p2,approval,rate,yearlyReimbursement
John Doe,436,290532,136331,19,589,851,1,0.08,13979.40326
John Doe,333,95440,516245,24,493,6574,0,0.08,48447.78365
John Doe,805,43242,982572,14,252,7680,0,0.067,108746.0713
John Doe,313,3773,286564,19,621,8803,0,0.08,30025.8064
John Doe,639,141075,603802,14,85,5168,0,0.067,69141.80143
John Doe,798,10250,420537,22,749,3077,0,0.08,41214.82708
John Doe,563,19837,580276,22,953,4550,0,0.08,56870.08515
John Doe,701,94722,150099,20,390,7221,1,0.08,15091.47947
John Doe,678,142482,1828936,13,598,9455,0,0,0
John Doe,670,86878,269819,21,615,1918,1,0.08,26947.05379
John Doe,447,136755,1465709,24,314,3755,0,0,0
John Doe,717,274553,513754,19,899,5274,1,0.08,53720.28963
John Doe,586,48133,1152135,7,221,2248,0,0,0
John Doe,471,278339,206578,13,480,4337,1,0.067,24874.15936
John Doe,653,175246,742815,14,63,4942,0,0.067,82210.98603
John Doe,827,230820,757193,20,496,1216,1,0.08,77498.09102
John Doe,620,103873,237225,23,957,4898,1,0.08,22917.70542
John Doe,475,78719,209293,10,6,6143,1,0.063,28607.22294
John Doe,578,124633,1983182,19,68,4181,0,0,0
John Doe,584,39398,1092231,15,155,6254,0,0,0
John Doe,625,264765,86406,16,429,3479,1,0.067,8948.288386
John Doe,370,190062,705654,1,608,6570,0,0.055,1434034.005
John Doe,615,124870,1326442,29,460,4156,0,0,0
John Doe,564,69761,1419979,25,191,2803,0,0,0
John Doe,621,183986,307994,22,235,3023,1,0.08,29921.82463
John Doe,350,247200,1997826,21,672,9402,0,0,0
John Doe,803,50412,801215,25,311,8826,0,0.08,75105.13126
John Doe,543,37931,973876,30,300,10,0,0.085,90192.86086
John Doe,321,28772,426464,19,176,8986,0,0.08,44592.8783
John Doe,722,174858,1125688,22,797,1494,0,0,0
John Doe,580,66037,168781,26,827,7636,1,0.085,16187.27513
John Doe,669,98165,1598178,24,883,1229,0,0,0
John Doe,529,208718,1284030,28,994,718,0,0,0
John Doe,630,82519,1600589,9,776,9961,0,0,0
John Doe,397,160982,570189,17,983,2265,1,0.067,57195.16059
John Doe,604,78432,286828,29,600,2214,1,0.085,26794.39271
John Doe,580,97718,780306,27,470,8481,0,0.085,74064.95939
John Doe,452,274311,686326,16,729,2129,0,0.067,72188.63119
John Doe,797,159016,173501,28,491,238,1,0.085,16301.57599
John Doe,427,269303,820537,24,564,3074,0,0.08,77644.34722
John Doe,549,292454,331306,16,244,6386,1,0.067,34521.31033
John Doe,822,163580,585683,26,689,1392,1,0.085,56538.54067
John Doe,391,9043,1871428,16,594,2985,0,0,0
John Doe,488,71113,1990313,11,497,4881,0,0,0
John Doe,449,77592,501365,2,156,1084,0,0.055,390840.4662
John Doe,346,34835,10001,26,472,6318,1,0.085,964.5196823
John Doe,536,183376,1870581,12,17,3084,0,0,0
John Doe,389,190088,983518,23,427,6032,0,0.08,93883.84469
John Doe,390,160718,271276,16,822,6156,1,0.067,28093.60322
John Doe,328,189420,1165903,9,368,1212,0,0,0
John Doe,597,148999,1742123,10,958,523,0,0,0
John Doe,304,50575,1033990,5,921,2464,0,0,0
John Doe,709,198527,353239,23,938,4713,1,0.08,33676.10436
John Doe,626,145519,187437,12,231,8838,1,0.063,23181.11741
John Doe,412,230950,1169577,6,637,536,0,0,0
John Doe,583,157633,400594,3,800,5331,0,0.055,196547.5011
John Doe,689,59923,847966,9,121,2460,0,0.063,125417.213
John Doe,355,138026,473527,2,602,6149,0,0.055,250565.8053
