name,creditScore,income,loanAmount,monthDuration,approval,rate,yearlyReimbursement,loanAmountOnIncome,yearlyReimbursementOnIncome
John Doe,436,290532,136331,19, true,0.08,13979.40326,0.469246073,0.04811657
John Doe,333,95440,516245,24, false,0.08,48447.78365,5.409105197,0.507625562
John Doe,805,43242,982572,14, false,0.067,108746.0713,22.72263078,2.5148252
John Doe,313,3773,286564,19, false,0.08,30025.8064,75.95123244,7.958072197
John Doe,639,141075,603802,14, false,0.067,69141.80143,4.280007088,0.490106691
John Doe,798,10250,420537,22, false,0.08,41214.82708,41.028,4.020958739
John Doe,563,19837,580276,22, false,0.08,56870.08515,29.25220547,2.866869242
John Doe,701,94722,150099,20, true,0.08,15091.47947,1.584626591,0.159323911
John Doe,678,142482,1828936,13, false,0,0,12.83626002,0
John Doe,670,86878,269819,21, true,0.08,26947.05379,3.105722968,0.310171203
