name,creditScore,income,loanAmount,monthDuration,rate
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 350, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 390, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 390, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 340, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 340, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
John Doe, 550, 80000, 250000, 240, 0.05d
John Woo, 540, 100000, 250000, 240, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.05d
Peter Woo, 540, 60000, 250000, 120, 0.07d
