name,creditScore,income,loanAmount,monthDuration,rate
John Doe,436,290532,136331,19,0.08
John Doe,333,95440,516245,24,0.08
John Doe,805,43242,982572,14,0.067
John Doe,313,3773,286564,19,0.08
John Doe,639,141075,603802,14,0.067
John Doe,798,10250,420537,22,0.08
John Doe,563,19837,580276,22,0.08
John Doe,701,94722,150099,20,0.08
John Doe,678,142482,1828936,13,0
John Doe,670,86878,269819,21,0.08
John Doe,447,136755,1465709,24,0
John Doe,717,274553,513754,19,0.08
John Doe,586,48133,1152135,7,0
John Doe,471,278339,206578,13,0.067
John Doe,653,175246,742815,14,0.067
John Doe,827,230820,757193,20,0.08
John Doe,620,103873,237225,23,0.08
John Doe,475,78719,209293,10,0.063
John Doe,578,124633,1983182,19,0
John Doe,584,39398,1092231,15,0
John Doe,625,264765,86406,16,0.067
John Doe,370,190062,705654,1,0.055
John Doe,615,124870,1326442,29,0
John Doe,564,69761,1419979,25,0
John Doe,621,183986,307994,22,0.08
John Doe,350,247200,1997826,21,0
John Doe,803,50412,801215,25,0.08
John Doe,543,37931,973876,30,0.085
John Doe,321,28772,426464,19,0.08
John Doe,722,174858,1125688,22,0
John Doe,580,66037,168781,26,0.085
John Doe,669,98165,1598178,24,0
John Doe,529,208718,1284030,28,0
John Doe,630,82519,1600589,9,0
John Doe,397,160982,570189,17,0.067
John Doe,604,78432,286828,29,0.085
John Doe,580,97718,780306,27,0.085
John Doe,452,274311,686326,16,0.067
John Doe,797,159016,173501,28,0.085
John Doe,427,269303,820537,24,0.08
John Doe,549,292454,331306,16,0.067
John Doe,822,163580,585683,26,0.085
John Doe,391,9043,1871428,16,0
John Doe,488,71113,1990313,11,0
John Doe,449,77592,501365,2,0.055
John Doe,346,34835,10001,26,0.085
John Doe,536,183376,1870581,12,0
John Doe,389,190088,983518,23,0.08
John Doe,390,160718,271276,16,0.067
John Doe,328,189420,1165903,9,0
John Doe,597,148999,1742123,10,0
John Doe,304,50575,1033990,5,0
John Doe,709,198527,353239,23,0.08
John Doe,626,145519,187437,12,0.063
John Doe,412,230950,1169577,6,0
John Doe,583,157633,400594,3,0.055
John Doe,689,59923,847966,9,0.063
John Doe,355,138026,473527,2,0.055
John Doe,448,256395,233107,19,0.08
John Doe,530,1937,1139001,1,0
John Doe,461,261413,1361559,27,0
John Doe,332,279334,259780,29,0.085
John Doe,813,53005,610564,1,0.055
John Doe,672,147301,969354,19,0.08
John Doe,413,65558,1459538,9,0
John Doe,454,98234,60333,22,0.08
John Doe,519,175956,554141,28,0.085
John Doe,412,80066,1817910,13,0
John Doe,525,254238,1032673,22,0
John Doe,536,270914,359543,25,0.08
John Doe,820,154166,917451,26,0.085
John Doe,388,229230,323577,14,0.067
John Doe,549,75126,1784020,26,0
John Doe,834,95434,1115018,9,0
John Doe,655,278305,861422,8,0.059
John Doe,612,86370,750727,20,0.08
John Doe,695,11966,618848,1,0.055
John Doe,345,139095,252547,26,0.085
John Doe,481,706,158346,12,0.063
John Doe,394,265265,1337493,10,0
John Doe,362,147183,1228893,24,0
John Doe,333,106755,390215,28,0.085
John Doe,680,280453,241989,16,0.067
